field,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,3.3,0.4991919191919192,0.2952952952952953,0.40540540540540543,0.40540540540540543,,,,,
ore_fine,3.6,0.845,0.2952952952952953,0.40540540540540543,0.40540540540540543,,,,,
spessore_parietale,0.0,0.0,0.9580740255486406,0.9859154929577465,0.9859154929577465,,,,,
estensione_cranio_caudale,0.037037037037037035,0.0008202776059918917,0.632183908045977,0.3333333333333333,0.3333333333333333,,,,,
distanza_oai,3.9186046511627906,0.03413461538461539,0.5583160800552105,0.2857142857142857,0.2857142857142857,,,,,
linfonodi_sospetti,1.9296875,0.31995841995841995,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,,,,,,0.6502732240437158,0.3333333333333333,0.36134754882611186,,
infiltrazione_organi_extra,,,,,,0.5555555555555556,0.25,0.182542606800687,,
coinvolgimento_riflessione_peritoneale,,,,,,0.7090909090909091,0.5,0.4817499777011721,,
coinvolgimento_fascia_mesorettale,,,,,,0.7454931071049841,0.6739130434782609,0.5541076356831904,,
numero_linfonodi_non_conosciuto,,,,,,0.3816425120772947,0.1111111111111111,-0.10336393467405533,,
depositi_tumorali,,,,,,0.91438127090301,0.8461538461538461,0.8415830964688563,,
emvi,,,,,,0.8575878949710725,0.7619047619047619,0.7269197537640096,,
stadio_N,,,,,,0.6554865424430641,0.8761904761904762,0.34853574033876183,,
mrf,,,,,,0.7907813010787839,0.7368421052631579,0.6312716366922061,,
metastasi,,,,,,0.5904504061038641,0.23529411764705882,0.2766188019108483,,
morfologia,,,,,,0.5133279753532918,,0.3000988059108232,,
riflessione_peritoneale_anteriore,,,,,,0.1452991452991453,,0.0,,
infiltrazione_tessuto_adiposo,,,,,,0.34377880184331794,,0.15796726433123134,,
stadio_T,,,,,,0.371298413895892,,0.27327624081045554,,
posizione,,,,,,0.5760412860796492,,,,0.6572916666666666
posizione_basso,,,,,,0.8260869565217391,0.75,,,
posizione_medio,,,,,,0.7960784313725491,0.8088235294117647,,,
posizione_alto,,,,,,0.681063122923588,0.5714285714285714,,,
posizione_giunzione,,,,,,0.5461839895502892,0.17391304347826086,,,
infiltrazione_organi_dettagli,,,,,,0.21957671957671956,,,,0.031249999999999997
infiltrazione_organi_dettagli_muscolo_elevatore,,,,,,0.7121007647323436,0.4444444444444444,,,
infiltrazione_organi_dettagli_pavimento_pelvico,,,,,,0.4732510288065844,0.0,,,
infiltrazione_organi_dettagli_altro,,,,,,0.5588972431077694,0.21428571428571427,,,
sedi_linfonodi,,,,,,0.4416155210437062,,,,0.45515252976190473
sedi_linfonodi_mesorettali,,,,,,0.6701720175499687,0.7861271676300579,,,
sedi_linfonodi_rettali_superiori,,,,,,0.6041666666666667,0.40625,,,
sedi_linfonodi_otturatori,,,,,,0.658607932547535,0.4745762711864407,,,
sedi_linfonodi_iliaci,,,,,,0.5451314854299929,0.3283582089552239,,,
sedi_linfonodi_altro,,,,,,0.517866232311921,0.2127659574468085,,,
